id handicapped-infants water-project-cost-sharing adoption-of-the-budget-resolution physician-fee-freeze el-salvador-aid religious-groups-in-schools anti-satellite-test-ban aid-to-nicaraguan-contras mx-missile immigration synfuels-corporation-cutback education-spending superfund-right-to-sue crime duty-free-exports export-administration-act-south-africa class
1 0 1 0 1 1 1 0 0 0 1 0.5 1 1 1 0 1 republican
2 0 1 0 1 1 1 0 0 0 0 0 1 1 1 0 0.5 republican
3 0.5 1 1 0.5 1 1 0 0 0 0 1 0 1 1 0 0 democrat
4 0 1 1 0 0.5 1 0 0 0 0 1 0 1 0 0 1 democrat
5 1 1 1 0 1 1 0 0 0 0 1 0.5 1 1 1 1 democrat
6 0 1 1 0 1 1 0 0 0 0 0 0 1 1 1 1 democrat
7 0 1 0 1 1 1 0 0 0 0 0 0 0.5 1 1 1 democrat
8 0 1 0 1 1 1 0 0 0 0 0 0 1 1 0.5 1 republican
9 0 1 0 1 1 1 0 0 0 0 0 1 1 1 0 1 republican
10 1 1 1 0 0 0 1 1 1 0 0 0 0 0 0.5 0.5 democrat
11 0 1 0 1 1 0 0 0 0 0 0.5 0.5 1 1 0 0 republican
12 0 1 0 1 1 1 0 0 0 0 1 0.5 1 1 0.5 0.5 republican
13 0 1 1 0 0 0 1 1 1 0 0 0 1 0 0.5 0.5 democrat
14 1 1 1 0 0 1 1 1 0.5 1 1 0.5 0 0 1 0.5 democrat
15 0 1 0 1 1 1 0 0 0 0 0 1 0.5 0.5 0 0.5 republican
16 0 1 0 1 1 1 0 0 0 1 0 1 1 0.5 0 0.5 republican
17 1 0 1 0 0 1 0 1 0.5 1 1 1 0.5 0 0 1 democrat
18 1 0.5 1 0 0 0 1 1 1 0 0 0 1 0 1 1 democrat
19 0 1 0 1 1 1 0 0 0 0 0 0.5 1 1 0 0 republican
20 1 1 1 0 0 0 1 1 1 0 1 0 0 0 1 1 democrat
21 1 1 1 0 0 0.5 1 1 0 0 1 0 0 0 1 1 democrat
22 1 1 1 0 0 0 1 1 1 0 0 0 0.5 0.5 1 1 democrat
23 1 0.5 1 0 0 0 1 1 1 0 0 0.5 0 0 1 1 democrat
24 1 1 1 0 0 0 1 1 1 0 0 0 0 0 1 1 democrat
25 1 0 1 0 0 0 1 1 1 0 0 0 0 0 1 0.5 democrat
26 1 0 1 0 0 0 1 1 1 1 0 0 0 0 1 1 democrat
27 1 0 1 0 0 0 1 1 1 0 1 0 0 0 1 1 democrat
28 1 1 1 0 0 0 1 1 1 0 1 0 0 0 1 1 democrat
29 1 0 0 1 1 0 1 1 1 0 0 1 1 1 0 1 republican
30 1 1 1 0 0 0 1 1 1 0 1 0 0 0 1 1 democrat
31 0 1 0 1 1 1 0 0 0 0 0 1 1 1 0 0 republican
32 1 1 1 0 0 0 1 1 1 0 1 0 0 0 1 0.5 democrat
33 1 1 1 0 0 0 1 1 1 1 0 0 1 0 1 1 democrat
34 0 1 0 1 1 1 0 0 0 0 0 1 1 1 0 1 republican
35 1 1 1 0 0 0 1 1 1 0 0 0 0 0 1 1 democrat
36 0 1 0 1 1 1 0 0 0 0 0 1 1 1 0 0 republican
37 1 0.5 0 1 1 1 0 0 0 1 0 1 0.5 1 0 1 republican
38 1 1 0 1 1 1 0 0 0 0 0 0 1 1 0 1 republican
39 0 1 0 1 1 1 0 0 0 1 0 1 1 1 0 0 republican
40 1 0 1 0 0 0 1 1 1 1 1 0 1 0 1 1 democrat
41 1 1 1 0 0 0 1 1 1 0 0.5 0 0 0 0 0.5 democrat
42 1 1 1 0 0 0 1 1 1 0 0 0 0 0 1 0.5 democrat
43 1 0 1 0 0 0 1 1 1 0 0 0 0 0 0 1 democrat
44 1 0 1 0 0 0 1 1 1 0 0 0 0 0 1 1 democrat
45 1 1 1 0 0 0 1 1 1 0 1 0 0 0 0 0.5 democrat
46 1 1 1 0 0 0 1 1 0.5 0 1 0 0 0 1 0.5 democrat
47 1 1 1 0 0 0 1 1 1 0 0 0 0 0 0 1 democrat
48 1 0 1 0 0 0 1 1 0.5 0 0 0 0 0 0 0.5 democrat
49 1 1 1 0 0 0 1 1 0 0 0 0 0 1 0 1 democrat
50 0 0.5 0 1 1 1 0 0 0 0 0 1 1 1 0 0 republican
51 1 1 1 0 0 0 1 1 1 0 1 0 0 0 1 1 democrat
52 0 1 0 1 1 1 0 0.5 0 0 0 1 1 1 0 1 republican
53 1 1 1 0 0 0 1 1 1 0 0 0 0 0 0.5 0.5 democrat
54 1 1 0 1 1 1 0 0 0 1 0 1 1 1 0 0 republican
55 1 1 1 0 0 1 0.5 1 0 0 1 1 0 1 0 0.5 democrat
56 0 1 0 1 1 1 0 0 0 1 1 1 1 1 0 0 republican
57 0 1 0 1 1 1 0 0 0 1 1 1 1 1 0 1 republican
58 0 1 0 1 1 1 0 0 0 1 0 1 1 1 0 1 republican
59 0 1 0 1 1 1 0 0 0 1 0 1 1 1 0 1 republican
60 0 1 0 1 1 1 0 0 0 1 0 1 1 1 0 0.5 republican
61 1 1 1 0 0 0.5 1 1 1 1 0 0 0 0 1 0.5 democrat
62 0 1 0 1 1 1 0 0 0 0 0 1 1 1 0 0 republican
63 1 1 1 0 0 0 1 1 1 0 0 0 0 0 0 0.5 democrat
64 1 1 1 0 0 0 1 1 1 0 1 0 0 0 0 1 democrat
65 1 1 1 0 0 0 1 1 1 0 1 0.5 0 0 0 1 democrat
66 1 1 0 1 1 1 1 0 0 0 0 1 1 1 0 1 republican
